"tlaID","wikidataID","transliterationLUT","hieroglyphs","lexicalCategoryID","lexicalCategory","additionalLexicalCategoryID","additionalLexicalCategory","genderID","gender","referentTypeID","referentType","senses","sensesLanguage"
"169260","L1388432","tꜣ-zmꜣ","𓇿𓊃𓌳𓄥","Q1084","noun","","","","","","","landing place","EN"
"169280","L1391511","Tꜣ-Ztï","𓇾𓊃𓐮𓏏𓈉","Q147276","proper noun","Q7884789","toponym","","","","","Nubia; Ta-seti (1st nome of Upper Egypt)","EN"
"169310","L1385424","Tꜣ-Šmꜥ.w","𓇾𓇗","Q147276","proper noun","Q7884789","toponym","","","","","Upper Egypt","EN"
"169350","L1385544","tꜣ-tm.w","𓇾𓏏𓅓𓅱𓀀𓁐𓏪","Q1084","noun","","","Q499327","masculine","","","all humankind","EN"
"169360","L1385421","Tꜣ-ṯnn","𓇾𓍿𓇑𓇑","Q147276","proper noun","Q115642037","deity name","","","","","Tatenen","EN"
"863183","L1391096","tꜣ-dšr","","Q1084","noun","","","Q499327","masculine","","","desert","EN"
"169370","L1385416","tꜣ-ḏsr","𓇾𓂦𓂋𓈉","Q1084","noun","","","Q499327","masculine","","","necropolis (lit. sacred land); land of the dead","EN"
"851662","L1395134","tꜣï","𓏏𓄿𓏭","Q36224","pronoun","Q34793275","demonstrative pronoun","","","","","[dem. pron. sing. f.]","EN"
"169440","L1391588","Tꜣꞽ.t","","Q147276","proper noun","Q115642037","deity name","","","","","Tait","EN"
"854438","L1395111","tꜣꞽ.tït","","Q1084","noun","","","Q1775415","feminine","","","[textile]","EN"
"169460","L1395010","Tꜣꞽ.tït","𓏏𓍔𓄿𓇋𓏏𓏏𓄦","Q147276","proper noun","Q115642037","deity name","","","","","Taitet (goddess of the town Tait)","EN"
"550046","L1391338","tꜣy=","𓏏𓄿𓇋𓇋","Q36224","pronoun","Q34793275","demonstrative pronoun","","","","","[poss. adj., fem. sing.]","EN"
"169420","L1396327","tꜣy.t","𓏏𓍔𓄿𓇋𓇋𓏏𓉪𓆱𓉐","Q1084","noun","","","Q1775415","feminine","","","(main) door (of a temple)","EN"
"169450","L1394467","tꜣy.t","𓏏𓍔𓄿𓇋𓇋𓏏𓍱","Q1084","noun","","","Q1775415","feminine","","","fabric; mummy bindings; sail; curtain","EN"
"169470","L1393614","tꜣw","𓍔𓄿𓅱𓋳𓏪","Q1084","noun","","","Q499327","masculine","","","divine clothing","EN"
